Date,Time,BPM
2020-07-13,09:55:17,92
2020-07-13,09:55:18,84
2020-07-13,09:55:18,89
2020-07-13,09:55:19,75
2020-07-13,09:55:20,76
2020-07-13,09:55:21,83
2020-07-13,09:55:21,81
2020-07-13,09:55:22,76
2020-07-13,09:55:23,74
2020-07-13,09:55:24,82
2020-07-13,09:55:24,85
2020-07-13,09:55:25,84
2020-07-13,09:55:26,84
2020-07-14,09:36:12,80
2020-07-14,09:36:13,81
2020-07-14,09:36:13,78
2020-07-14,09:36:14,76
2020-07-14,09:36:19,80
2020-07-14,09:36:20,83
2020-07-14,09:36:21,87
2020-07-14,09:36:21,95
2020-07-14,09:36:22,95
2020-07-14,09:36:26,96
2020-07-14,09:36:26,89
2020-07-14,09:36:27,85
2020-07-14,09:36:28,79
2020-07-14,09:36:29,76
2020-07-14,09:36:29,72
2020-07-14,09:36:30,77
2020-07-14,09:36:35,87
2020-07-14,09:36:46,88
2020-07-14,09:36:47,88
2020-07-14,09:36:50,85
2020-07-14,09:36:50,90
2020-07-14,09:36:51,92
2020-07-14,09:36:52,86
2020-07-14,09:36:52,76
2020-07-14,09:36:53,82
2020-07-14,09:36:54,85
2020-07-14,09:36:55,82
2020-07-14,09:36:55,79
2020-07-14,09:36:56,76
2020-07-14,09:36:57,75
2020-07-14,09:36:58,81
2020-07-14,09:36:58,85
2020-07-14,09:37:05,89
2020-07-14,09:37:06,96
2020-07-14,09:37:07,81
2020-07-26,18:55:45,69
2020-07-26,18:55:46,67
2020-07-26,18:55:50,67
2020-07-26,18:55:51,72
2020-07-26,18:55:52,70
2020-07-26,18:55:53,70
2020-07-26,18:55:54,69
2020-07-26,18:55:55,78
2020-07-26,18:55:55,76
2020-07-26,18:55:56,72
2020-07-26,18:55:57,70
2020-07-29,18:07:59,81
2020-07-29,18:08:00,74
2020-07-29,18:08:01,83
2020-07-29,18:08:01,76
2020-07-29,18:08:02,71
2020-07-29,18:08:09,82
2020-07-29,18:08:10,76
2020-07-29,18:08:10,76
2020-07-29,18:08:11,84
2020-07-29,18:08:12,82
2020-07-29,18:08:13,80
2020-07-29,18:08:13,78
2020-07-29,18:08:14,89
2020-07-29,18:08:16,93
2020-07-29,18:08:17,89
2020-07-29,18:08:18,80
2020-07-29,18:08:18,79
2020-07-29,18:08:19,84
2020-07-29,18:08:20,85
2020-07-29,18:08:20,89
2020-07-29,18:08:21,92
2020-07-29,18:08:22,87
2020-07-29,18:08:22,82
2020-07-29,18:08:23,80
2020-07-29,18:08:24,82
2020-07-29,18:08:25,75
2020-07-29,18:08:25,81
